data Species.n Quarter Year fleet Age observed model residual stand.residual
catch 1 1 1986 -9 1  1.893856e+007 1.440923e+007 2.733311e-001 4.060684e-001
catch 1 1 1986 -9 2  2.062746e+006 1.164909e+006 5.713950e-001 8.488805e-001
catch 1 1 1986 -9 3  1.608420e+005 5.140375e+004 1.140711e+000 1.117466e+000
catch 1 1 1986 -9 4  -99.9 -99.9 -99.9  -99.9
catch 1 1 1987 -9 1  3.375976e+007 3.952227e+007 -1.575945e-001 -2.341269e-001
catch 1 1 1987 -9 2  1.402021e+007 5.015105e+006 1.028046e+000 1.527294e+000
catch 1 1 1987 -9 3  4.531140e+005 4.042368e+005 1.141429e-001 1.118170e-001
catch 1 1 1987 -9 4  1.997970e+005 1.094294e+005 6.020221e-001 5.897543e-001
catch 1 1 1988 -9 1  6.583910e+006 1.026453e+007 -4.440652e-001 -6.597158e-001
catch 1 1 1988 -9 2  1.732064e+007 7.810740e+006 7.963989e-001 1.183153e+000
catch 1 1 1988 -9 3  8.934610e+005 9.883550e+005 -1.009392e-001 -9.888235e-002
catch 1 1 1988 -9 4  1.929600e+004 1.682769e+005 -2.165713e+000 -2.121581e+000
catch 1 1 1989 -9 1  4.700446e+007 3.230348e+007 3.750673e-001 5.572105e-001
catch 1 1 1989 -9 2  1.844205e+006 1.733807e+006 6.172855e-002 9.170568e-002
catch 1 1 1989 -9 3  2.806043e+006 1.315416e+006 7.576226e-001 7.421840e-001
catch 1 1 1989 -9 4  4.091000e+003 3.289855e+005 -4.387224e+000 -4.297823e+000
catch 1 1 1990 -9 1  9.302202e+006 7.456512e+006 2.211634e-001 3.285665e-001
catch 1 1 1990 -9 2  2.790710e+006 2.898619e+006 -3.793842e-002 -5.636239e-002
catch 1 1 1990 -9 3  4.128580e+005 1.462150e+005 1.038025e+000 1.016873e+000
catch 1 1 1990 -9 4  1.249970e+005 2.223889e+005 -5.761380e-001 -5.643977e-001
catch 1 1 1991 -9 1  2.400873e+007 1.668405e+007 3.639644e-001 5.407158e-001
catch 1 1 1991 -9 2  1.390649e+006 2.039753e+006 -3.830580e-001 -5.690817e-001
catch 1 1 1991 -9 3  5.260030e+005 7.721677e+005 -3.838948e-001 -3.760719e-001
