"","Age 0","Age 1","Age 2","Age 3","Age 4"
"Stock numbers(2022)",112945.767666777,23480.1,10489.9,3818.36,1005.44
"Exploitation pattern 1st half",NA,0.298788,0.448192,0.428478,0.428478
"Exploitation pattern 2nd half",0,0,0,0,0
"Weight in the stock 1st half",NA,8.715752,13.566146,18.28246,23.6446
"Weight in the catch 1st half",NA,8.715752,13.566146,18.28246,23.6446
"weight in the catch 2nd half",3.7822,8.41322,15.4109,20.1718,21.859
"Proportion mature(2022)",0,0.036,0.766,1,1
"Proportion mature(2023)",0,0.036,0.766,1,1
"Natural mortality 1st half",NA,0.7,0.55,0.42,0.39
"Natural mortality 2nd half",1.19,0.54,0.45,0.44,0.42
