Area-3r Sandeel

Basis: Fsq=F(2021)=0.3735;  Yield(2021)=157.473; Recruitment(2021)=77.206947; Recruitment(2022)=geometric mean (GM 1986-2020)=112.945768 billions;SSB(2022)=210.029

F multiplier,Basis,F(2022),Catch(2022),SSB(2023),%SSB change*,%TAC change**
0 , F=0, 0 , 0.001 , 200.747 , -4 %, -100 % 
0.78 , Fsq*0.78, 0.29 , 85.559 , 151.563 , -28 %, -46 % 
1 , Fsq*1, 0.373 , 106.151 , 140.019 , -33 %, -33 % 
0.4 , Fsq*0.4, 0.149 , 46.963 , 173.527 , -17 %, -70 % 
0.6 , Fsq*0.6, 0.224 , 68.08 , 161.46 , -23 %, -57 % 
0.8 , Fsq*0.8, 0.299 , 87.775 , 150.315 , -28 %, -44 % 
0.1 , Fsq*0.1, 0.037 , 12.371 , 193.529 , -8 %, -92 % 
0.12 , Fsq*0.12, 0.045 , 14.793 , 192.12 , -9 %, -91 % 
0.14 , Fsq*0.14, 0.052 , 17.198 , 190.722 , -9 %, -89 % 
2.649 , MSY , 0.989 , 218.345 , 80 , -62 %, 39 % 
