data Species.n Quarter Year fleet Age observed model residual stand.residual
catch 1 1 1986 -9 1  1.893856e+007 1.607529e+007 1.639167e-001 2.625328e-001
catch 1 1 1986 -9 2  2.062746e+006 1.272916e+006 4.827280e-001 7.731483e-001
catch 1 1 1986 -9 3  1.608420e+005 4.432759e+004 1.288815e+000 1.166929e+000
catch 1 1 1986 -9 4  -99.9 -99.9 -99.9  -99.9
catch 1 1 1987 -9 1  3.375976e+007 3.966092e+007 -1.610967e-001 -2.580162e-001
catch 1 1 1987 -9 2  1.402021e+007 5.572737e+006 9.226138e-001 1.477680e+000
catch 1 1 1987 -9 3  4.531140e+005 4.298705e+005 5.265967e-002 4.767954e-002
catch 1 1 1987 -9 4  1.997970e+005 1.080704e+005 6.145188e-001 5.564025e-001
catch 1 1 1988 -9 1  6.583910e+006 1.015958e+007 -4.337886e-001 -6.947658e-001
catch 1 1 1988 -9 2  1.732064e+007 7.809654e+006 7.965380e-001 1.275754e+000
catch 1 1 1988 -9 3  8.934610e+005 1.072092e+006 -1.822644e-001 -1.650273e-001
catch 1 1 1988 -9 4  1.929600e+004 1.846555e+005 -2.258594e+000 -2.044994e+000
catch 1 1 1989 -9 1  4.700446e+007 3.245561e+007 3.703690e-001 5.931915e-001
catch 1 1 1989 -9 2  1.844205e+006 1.718703e+006 7.047863e-002 1.128802e-001
catch 1 1 1989 -9 3  2.806043e+006 1.298683e+006 7.704247e-001 6.975641e-001
catch 1 1 1989 -9 4  4.091000e+003 3.814698e+005 -4.535242e+000 -4.106335e+000
catch 1 1 1990 -9 1  9.302202e+006 7.255432e+006 2.485007e-001 3.980044e-001
catch 1 1 1990 -9 2  2.790710e+006 2.900399e+006 -3.855236e-002 -6.174635e-002
catch 1 1 1990 -9 3  4.128580e+005 1.413405e+005 1.071932e+000 9.705571e-001
catch 1 1 1990 -9 4  1.249970e+005 2.399042e+005 -6.519500e-001 -5.902938e-001
catch 1 1 1991 -9 1  2.400873e+007 1.752743e+007 3.146507e-001 5.039518e-001
catch 1 1 1991 -9 2  1.390649e+006 1.976150e+006 -3.513801e-001 -5.627785e-001
catch 1 1 1991 -9 3  5.260030e+005 7.517799e+005 -3.571366e-001 -3.233615e-001
catch 1 1 1991 -9 4  1.841690e+005 1.662569e+005 1.023195e-001 9.264297e-002
catch 1 1 1992 -9 1  7.100077e+006 5.736206e+006 2.133075e-001 3.416383e-001
catch 1 1 1992 -9 2  2.862149e+006 1.979746e+006 3.686044e-001 5.903654e-001
catch 1 1 1992 -9 3  3.422060e+005 2.043091e+005 5.157788e-001 4.670006e-001
catch 1 1 1992 -9 4  2.147300e+005 1.627057e+005 2.774382e-001 2.512004e-001
catch 1 1 1993 -9 1  1.516384e+007 2.150338e+007 -3.492962e-001 -5.594409e-001
catch 1 1 1993 -9 2  5.584580e+005 2.481794e+006 -1.491557e+000 -2.388913e+000
catch 1 1 1993 -9 3  2.113390e+005 8.295064e+005 -1.367367e+000 -1.238053e+000
catch 1 1 1993 -9 4  1.336086e+006 2.570913e+005 1.648069e+000 1.492208e+000
catch 1 1 1994 -9 1  2.374157e+007 1.735529e+007 3.133304e-001 5.018372e-001
catch 1 1 1994 -9 2  4.817749e+006 4.835903e+006 -3.761101e-003 -6.023866e-003
catch 1 1 1994 -9 3  9.384760e+005 5.323735e+005 5.669119e-001 5.132979e-001
catch 1 1 1994 -9 4  3.864520e+005 4.001022e+005 -3.471233e-002 -3.142952e-002
catch 1 1 1995 -9 1  2.503710e+007 1.478862e+007 5.265008e-001 8.432559e-001
catch 1 1 1995 -9 2  1.893811e+006 2.767457e+006 -3.793377e-001 -6.075561e-001
catch 1 1 1995 -9 3  2.381870e+005 7.242017e+005 -1.112014e+000 -1.006849e+000
catch 1 1 1995 -9 4  1.557470e+005 2.534925e+005 -4.871014e-001 -4.410352e-001
catch 1 1 1996 -9 1  4.319201e+006 1.128110e+007 -9.600581e-001 -1.537651e+000
catch 1 1 1996 -9 2  3.393635e+006 2.873931e+006 1.662209e-001 2.662232e-001
catch 1 1 1996 -9 3  4.648300e+005 4.908008e+005 -5.436670e-002 -4.922513e-002
catch 1 1 1996 -9 4  3.986360e+005 2.974606e+005 2.927670e-001 2.650794e-001
catch 1 1 1997 -9 1  6.685622e+007 1.009603e+008 -4.121830e-001 -6.601618e-001
catch 1 1 1997 -9 2  2.911801e+006 3.997050e+006 -3.167847e-001 -5.073697e-001
catch 1 1 1997 -9 3  6.069970e+005 9.325896e+005 -4.294414e-001 -3.888283e-001
catch 1 1 1997 -9 4  1.941940e+005 4.432846e+005 -8.253543e-001 -7.472989e-001
catch 1 1 1998 -9 1  3.953888e+006 9.682666e+006 -8.956379e-001 -1.434474e+000
catch 1 1 1998 -9 2  2.813674e+007 1.827612e+007 4.314809e-001 6.910699e-001
catch 1 1 1998 -9 3  2.552888e+006 6.511137e+005 1.366296e+000 1.237083e+000
catch 1 1 1998 -9 4  2.900960e+005 3.866395e+005 -2.872808e-001 -2.601121e-001
catch 1 1 1999 -9 1  5.182181e+006 1.042005e+007 -6.985057e-001 -1.118743e+000
catch 1 1 1999 -9 2  1.553570e+006 1.191157e+006 2.656306e-001 4.254402e-001
catch 1 1 1999 -9 3  1.979272e+006 2.586542e+006 -2.675928e-001 -2.422860e-001
catch 1 1 1999 -9 4  4.214610e+005 2.679635e+005 4.528764e-001 4.100470e-001
catch 1 1 2000 -9 1  1.879277e+007 1.433684e+007 2.706398e-001 4.334629e-001
catch 1 1 2000 -9 2  3.286266e+006 1.798902e+006 6.025756e-001 9.650989e-001
catch 1 1 2000 -9 3  5.411290e+005 1.653073e+005 1.185852e+000 1.073703e+000
catch 1 1 2000 -9 4  5.330350e+005 4.662493e+005 1.338667e-001 1.212067e-001
catch 1 1 2001 -9 1  5.327137e+006 7.816678e+006 -3.834457e-001 -6.141355e-001
catch 1 1 2001 -9 2  9.919400e+005 1.064861e+006 -7.093654e-002 -1.136136e-001
catch 1 1 2001 -9 3  1.630120e+005 1.138863e+005 3.586230e-001 3.247073e-001
catch 1 1 2001 -9 4  1.600960e+005 5.050840e+004 1.153634e+000 1.044532e+000
catch 1 1 2002 -9 1  9.075154e+006 8.425602e+006 7.426537e-002 1.189451e-001
catch 1 1 2002 -9 2  2.680501e+006 1.624213e+006 5.009803e-001 8.023817e-001
catch 1 1 2002 -9 3  3.872260e+005 1.839846e+005 7.441564e-001 6.737801e-001
catch 1 1 2002 -9 4  1.352140e+005 3.468020e+004 1.360690e+000 1.232007e+000
catch 1 1 2003 -9 1  9.392640e+005 1.223302e+006 -2.642128e-001 -4.231694e-001
catch 1 1 2003 -9 2  8.075360e+005 7.694049e+005 4.837027e-002 7.747094e-002
catch 1 1 2003 -9 3  1.299110e+005 1.325520e+005 -2.012530e-002 -1.822201e-002
catch 1 1 2003 -9 4  7.800800e+004 1.919811e+004 1.401999e+000 1.269410e+000
catch 1 1 2004 -9 1  1.975717e+006 1.870815e+006 5.455744e-002 8.738046e-002
catch 1 1 2004 -9 2  2.555040e+005 1.881648e+005 3.059201e-001 4.899687e-001
catch 1 1 2004 -9 3  7.433600e+004 1.102788e+005 -3.944166e-001 -3.571158e-001
catch 1 1 2004 -9 4  9.154700e+004 2.312760e+004 1.375826e+000 1.245711e+000
catch 1 1 2005 -9 1  1.404001e+006 6.930787e+005 7.059377e-001 1.130646e+000
catch 1 1 2005 -9 2  1.455030e+005 2.631616e+005 -5.925717e-001 -9.490765e-001
catch 1 1 2005 -9 3  2.057700e+004 2.605068e+004 -2.358700e-001 -2.135633e-001
catch 1 1 2005 -9 4  1.241000e+004 1.968628e+004 -4.614196e-001 -4.177822e-001
catch 1 1 2006 -9 1  7.689710e+005 5.129026e+005 4.049674e-001 6.486051e-001
catch 1 1 2006 -9 2  4.671900e+004 9.182915e+004 -6.757788e-001 -1.082343e+000
catch 1 1 2006 -9 3  2.655000e+004 3.510385e+004 -2.792811e-001 -2.528689e-001
catch 1 1 2006 -9 4  4.038000e+003 7.036321e+003 -5.553359e-001 -5.028167e-001
catch 1 1 2007 -9 1  8.600016e+006 5.684448e+006 4.140301e-001 6.631202e-001
catch 1 1 2007 -9 2  5.709070e+005 9.538211e+005 -5.132499e-001 -8.220328e-001
catch 1 1 2007 -9 3  8.620100e+004 1.714250e+005 -6.874640e-001 -6.224492e-001
catch 1 1 2007 -9 4  1.876600e+004 8.977286e+004 -1.565236e+000 -1.417209e+000
catch 1 1 2008 -9 1  4.077210e+006 3.652197e+006 1.100840e-001 1.763131e-001
catch 1 1 2008 -9 2  2.012234e+006 1.853244e+006 8.230811e-002 1.318266e-001
catch 1 1 2008 -9 3  4.596710e+005 2.920186e+005 4.536934e-001 4.107867e-001
catch 1 1 2008 -9 4  7.310900e+004 9.012683e+004 -2.092664e-001 -1.894757e-001
catch 1 1 2009 -9 1  8.274820e+005 5.477401e+005 4.125865e-001 6.608080e-001
catch 1 1 2009 -9 2  6.948300e+004 1.206399e+005 -5.517279e-001 -8.836602e-001
catch 1 1 2009 -9 3  8.273000e+003 5.601187e+004 -1.912566e+000 -1.731691e+000
catch 1 1 2009 -9 4  -99.9 -99.9 -99.9  -99.9
catch 1 1 2010 -9 1  3.041699e+006 1.004756e+007 -1.194913e+000 -1.913800e+000
catch 1 1 2010 -9 2  7.402370e+005 2.972785e+006 -1.390284e+000 -2.226711e+000
catch 1 1 2010 -9 3  1.006304e+006 5.960311e+005 5.237466e-001 4.742149e-001
catch 1 1 2010 -9 4  1.727930e+005 3.614605e+005 -7.380584e-001 -6.682587e-001
catch 1 1 2011 -9 1  1.304406e+006 6.168727e+005 7.488404e-001 1.199360e+000
catch 1 1 2011 -9 2  5.223852e+006 2.345774e+006 8.006194e-001 1.282291e+000
catch 1 1 2011 -9 3  8.251330e+005 6.212136e+005 2.838696e-001 2.570235e-001
catch 1 1 2011 -9 4  2.409100e+004 2.139329e+005 -2.183824e+000 -1.977295e+000
catch 1 1 2012 -9 1  3.162500e+004 2.500586e+005 -2.067747e+000 -3.311752e+000
catch 1 1 2012 -9 2  1.863210e+005 1.363889e+005 3.119608e-001 4.996436e-001
catch 1 1 2012 -9 3  1.157430e+006 4.851158e+005 8.695697e-001 7.873328e-001
catch 1 1 2012 -9 4  3.562710e+005 1.857226e+005 6.514373e-001 5.898296e-001
catch 1 1 2013 -9 1  6.482730e+005 8.109933e+005 -2.239479e-001 -3.586802e-001
catch 1 1 2013 -9 2  2.110900e+005 4.703252e+004 1.501445e+000 2.404749e+000
catch 1 1 2013 -9 3  5.529400e+004 2.439604e+004 8.182437e-001 7.408608e-001
catch 1 1 2013 -9 4  4.241200e+004 1.258071e+005 -1.087319e+000 -9.844888e-001
catch 1 1 2014 -9 1  5.383521e+006 7.655140e+006 -3.520346e-001 -5.638268e-001
catch 1 1 2014 -9 2  2.372710e+006 1.178680e+006 6.996375e-001 1.120556e+000
catch 1 1 2014 -9 3  6.428310e+005 6.521667e+004 2.288167e+000 2.071770e+000
catch 1 1 2014 -9 4  3.193300e+005 2.230332e+005 3.589044e-001 3.249621e-001
catch 1 1 2015 -9 1  6.450913e+006 1.195705e+007 -6.170998e-001 -9.883613e-001
catch 1 1 2015 -9 2  2.339743e+006 3.226516e+006 -3.213619e-001 -5.147007e-001
catch 1 1 2015 -9 3  9.562140e+005 4.581969e+005 7.356827e-001 6.661077e-001
catch 1 1 2015 -9 4  9.891700e+004 1.192129e+005 -1.866302e-001 -1.689802e-001
catch 1 1 2016 -9 1  1.557720e+005 1.006114e+005 4.371279e-001 7.001142e-001
