Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1986 1 1 1 0 0 0.76 0.283173 1.04317 8.72073e+007 5.41436e+007 1.5332e+007 1.89386e+007 0.00612192 0.00612192 115940 115940 1 0.036 533876 19219.5 0 0 
1986 1 1 2 0 0 0.6 0.309333 0.909333 6.00778e+006 3.94562e+006 1.22051e+006 2.06275e+006 0.0097272 0.0097272 20064.7 20064.7 1 0.766 58438.8 44764.2 0 0 
1986 1 1 3 0 0 0.42 0.244838 0.664838 256694 187507 45908.7 160842 0.0124354 0.0124354 2000.13 2000.13 1 1 3192.08 3192.08 0 0 
1986 1 1 4 0 0 0.36 0.244838 0.604838 722169 541876 132672 0 0.0159119 0.0159119 0 0 1 1 11491.1 11491.1 0 0 
1986 2 1 0 0 0 1.34 0.0755521 1.41555 5.10594e+008 2.73127e+008 2.06354e+007 7.96453e+006 0.00401849 0.00401849 32005.4 32005.4 1 0 2.05182e+006 0 0 0 
1986 2 1 1 0 0 0.6 0.134566 0.734566 3.07262e+007 2.17631e+007 2.92856e+006 7.98688e+006 0.0126501 0.0126501 101035 101035 1 0.036 388690 13992.8 0 0 
1986 2 1 2 0 0 0.47 0.146997 0.616997 2.41989e+006 1.80586e+006 265455 533151 0.0210498 0.0210498 11222.7 11222.7 1 0.766 50938.3 39018.7 0 0 
1986 2 1 3 0 0 0.37 0.116349 0.486349 132032 104554 12164.7 2472 0.018856 0.018856 46.612 46.612 1 1 2489.59 2489.59 0 0 
1986 2 1 4 0 0 0.35 0.116349 0.466349 394422 315227 36676.2 0 0.020372 0.020372 0 0 1 1 8035.16 8035.16 0 0 
1987 1 1 1 0 0 0.75 0.571539 1.32154 1.23968e+008 6.87854e+007 3.93135e+007 3.37598e+007 0.00642898 0.00642898 217041 217041 1 0.036 796987 28691.5 0 0 
1987 1 1 2 0 0 0.6 0.624337 1.22434 1.47398e+007 8.50008e+006 5.30692e+006 1.40202e+007 0.0116638 0.0116638 163529 163529 1 0.766 171921 131692 0 0 
1987 1 1 3 0 0 0.42 0.494165 0.914165 1.30568e+006 855751 422882 453114 0.0204766 0.0204766 9278.22 9278.22 1 1 26735.9 26735.9 0 0 
1987 1 1 4 0 0 0.36 0.494165 0.854165 328599 220958 109190 199797 0.0224777 0.0224777 4490.97 4490.97 1 1 7386.13 7386.13 0 0 
1987 2 1 0 0 0 1.43 0.00109804 1.4311 1.16379e+008 6.18818e+007 67948.6 5156 0.00690042 0.00690042 35.5786 35.5786 1 0 803063 0 0 0 
1987 2 1 1 0 0 0.57 0.00195572 0.571956 3.30653e+007 2.51812e+007 49247.4 65133 0.0127681 0.0127681 831.624 831.624 1 0.036 422180 15198.5 0 0 
1987 2 1 2 0 0 0.44 0.00213638 0.442136 4.33279e+006 3.50179e+006 7481.17 4402 0.0203888 0.0203888 89.7517 89.7517 1 0.766 88340.6 67668.9 0 0 
1987 2 1 3 0 0 0.35 0.00169095 0.351691 523384 441253 746.138 0 0.0315782 0.0315782 0 0 1 1 16527.5 16527.5 0 0 
1987 2 1 4 0 0 0.34 0.00169095 0.341691 139864 118473 200.333 0 0.0296158 0.0296158 0 0 1 1 4142.19 4142.19 0 0 
1988 1 1 1 0 0 0.71 0.680677 1.39068 2.78199e+007 1.50253e+007 1.02274e+007 6.58391e+006 0.00511373 0.00511373 33668.3 33668.3 1 0.036 142264 5121.49 0 0 
1988 1 1 2 0 0 0.57 0.743558 1.31356 1.86627e+007 1.03878e+007 7.72396e+006 1.73206e+007 0.0130874 0.0130874 226682 226682 1 0.766 244246 187093 0 0 
1988 1 1 3 0 0 0.39 0.588528 0.978528 2.78452e+006 1.77605e+006 1.04526e+006 893461 0.0230178 0.0230178 20565.5 20565.5 1 1 64093.4 64093.4 0 0 
1988 1 1 4 0 0 0.35 0.588528 0.938528 467582 303308 178505 19296 0.0361685 0.0361685 697.908 697.908 1 1 16911.8 16911.8 0 0 
1988 2 1 0 0 0 1.54 0.0510765 1.59108 3.60079e+008 1.80211e+008 9.20453e+006 8.76886e+006 0.00408872 0.00408872 35853.4 35853.4 1 0 1.47226e+006 0 0 0 
1988 2 1 1 0 0 0.58 0.0909723 0.670972 6.92457e+006 5.0444e+006 458901 852565 0.00642828 0.00642828 5480.52 5480.52 1 0.036 44513 1602.47 0 0 
1988 2 1 2 0 0 0.43 0.0993763 0.529376 5.01769e+006 3.89593e+006 387163 233220 0.0160827 0.0160827 3750.81 3750.81 1 0.766 80698.2 61814.8 0 0 
1988 2 1 3 0 0 0.35 0.0786566 0.428657 1.0466e+006 851175 66950.6 143977 0.0224875 0.0224875 3237.68 3237.68 1 1 23535.4 23535.4 0 0 
1988 2 1 4 0 0 0.34 0.0786566 0.418657 182920 149457 11755.8 13414 0.0314608 0.0314608 422.015 422.015 1 1 5754.8 5754.8 0 0 
1989 1 1 1 0 0 0.68 0.856066 1.53607 7.33504e+007 3.74746e+007 3.20808e+007 4.70045e+007 0.00613012 0.00613012 288143 288143 1 0.036 449647 16187.3 0 0 
1989 1 1 2 0 0 0.55 0.935149 1.48515 3.53992e+006 1.84375e+006 1.72418e+006 1.8442e+006 0.0104668 0.0104668 19303 19303 1 0.766 37051.7 28381.6 0 0 
1989 1 1 3 0 0 0.39 0.740173 1.13017 2.95528e+006 1.77034e+006 1.31036e+006 2.80604e+006 0.0143234 0.0143234 40192.2 40192.2 1 1 42329.8 42329.8 0 0 
1989 1 1 4 0 0 0.36 0.740173 1.10017 802086 486415 360032 4091 0.0187797 0.0187797 76.8276 76.8276 1 1 15062.9 15062.9 0 0 
1989 2 1 0 0 0 1.33 0.00325869 1.33326 1.06681e+008 5.8922e+007 192009 159140 0.00478346 0.00478346 761.24 761.24 1 0 510305 0 0 0 
1989 2 1 1 0 0 0.49 0.00580406 0.495804 1.57869e+007 1.24473e+007 72244.7 190120 0.00930316 0.00930316 1768.72 1768.72 1 0.036 146868 5287.26 0 0 
1989 2 1 2 0 0 0.36 0.00634023 0.36634 801680 671239 4255.81 12901 0.0127297 0.0127297 164.226 164.226 1 0.766 10205.2 7817.17 0 0 
1989 2 1 3 0 0 0.33 0.00501832 0.335018 954489 811057 4070.14 0 0.0140224 0.0140224 0 0 1 1 13384.2 13384.2 0 0 
1989 2 1 4 0 0 0.32 0.00501832 0.325018 266945 227906 1143.7 0 0.0175215 0.0175215 0 0 1 1 4677.28 4677.28 0 0 
1990 1 1 1 0 0 0.63 0.421882 1.05188 2.8123e+007 1.73976e+007 7.33972e+006 9.3022e+006 0.00745268 0.00745268 69326.3 69326.3 1 0.036 209592 7545.3 0 0 
1990 1 1 2 0 0 0.49 0.460855 0.950855 9.61551e+006 6.20492e+006 2.85957e+006 2.79071e+006 0.00983297 0.00983297 27441 27441 1 0.766 94549.1 72424.6 0 0 
1990 1 1 3 0 0 0.34 0.364768 0.704768 555778 398854 145489 412858 0.015173 0.015173 6264.27 6264.27 1 1 8432.8 8432.8 0 0 
1990 1 1 4 0 0 0.31 0.364768 0.674768 875641 636811 232288 124997 0.0201785 0.0201785 2522.25 2522.25 1 1 17669.1 17669.1 0 0 
1990 2 1 0 0 0 1.28 0.0497305 1.32973 2.04871e+008 1.13311e+008 5.63501e+006 9.79264e+006 0.00438372 0.00438372 42928.2 42928.2 1 0 898099 0 0 0 
1990 2 1 1 0 0 0.48 0.088575 0.568575 9.82279e+006 7.49211e+006 663614 1.37715e+006 0.00768936 0.00768936 10589.4 10589.4 1 0.036 75530.9 2719.11 0 0 
1990 2 1 2 0 0 0.35 0.0967575 0.446757 3.71553e+006 2.9965e+006 289934 285578 0.011205 0.011205 3199.89 3199.89 1 0.766 41632.4 31890.5 0 0 
1990 2 1 3 0 0 0.3 0.0765839 0.376584 274678 228883 17528.7 42584 0.0165489 0.0165489 704.718 704.718 1 1 4545.62 4545.62 0 0 
1990 2 1 4 0 0 0.29 0.0765839 0.366584 445942 373340 28591.8 12527 0.0197684 0.0197684 247.638 247.638 1 1 8815.53 8815.53 0 0 
1991 1 1 1 0 0 0.63 0.5361 1.1661 5.41984e+007 3.19967e+007 1.71534e+007 2.40087e+007 0.00732518 0.00732518 175868 175868 1 0.036 397013 14292.5 0 0 
1991 1 1 2 0 0 0.49 0.585624 1.07562 5.56296e+006 3.4078e+006 1.99569e+006 1.39065e+006 0.0114452 0.0114452 15916.2 15916.2 1 0.766 63669.1 48770.5 0 0 
1991 1 1 3 0 0 0.33 0.463523 0.793523 2.37682e+006 1.64067e+006 760488 526003 0.0363807 0.0363807 19136.3 19136.3 1 1 86470.4 86470.4 0 0 
1991 1 1 4 0 0 0.3 0.463523 0.763523 497566 347978 161296 184169 0.0263288 0.0263288 4848.95 4848.95 1 1 13100.3 13100.3 0 0 
1991 2 1 0 0 0 1.22 0.0394231 1.25942 1.2358e+008 7.02751e+007 2.77046e+006 1.44423e+007 0.00367053 0.00367053 53011.1 53011.1 1 0 453606 0 0 0 
1991 2 1 1 0 0 0.47 0.0702165 0.540216 1.68871e+007 1.30472e+007 916130 942074 0.00567683 0.00567683 5347.99 5347.99 1 0.036 95865.4 3451.16 0 0 
1991 2 1 2 0 0 0.35 0.0767031 0.426703 1.89744e+006 1.54454e+006 118471 30405 0.0137562 0.0137562 418.257 418.257 1 0.766 26101.5 19993.8 0 0 
