Area-3r    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1986        511086680          77215         594193         282315          0.439
1987        116720254         190841         999213         395296          0.602
1988        359492753         271043         465741         330358          0.811
1989        107047707         101167         542606         350409          0.905
1990        202684026         105371         330168         163224          0.536
1991        123578354         161684         555256         274839          0.637
1992        261992030         123455         353371          86788          0.278
1993        191856329         196846         671228         175786          0.546
1994        181814561         239429         633257         267281          0.552
1995        148837014         142692         481276         173607          0.439
1996        777199315         238175         728724         159024          0.453
1997         63139828         187110        1605548         470670          0.822
1998         94110551         347137         554481         462081          1.089
1999        120550602         114373         340647         191253          1.030
2000        126480405          60736         312662         186837          0.913
2001        118050073          65772         349564         193684          0.702
2002         28406381          65022         318930         116298          0.562
2003         63143829          59623         115785          34673          0.322
2004         40290347          26271         157279          31285          0.235
2005         69902518          54329         154865          13991          0.105
2006        110547468          50052         217758           7094          0.045
2007         58710847          90386         368032          74972          0.271
2008         86454717         129928         315354          74933          0.301
2009        139645544          93578         302084           6261          0.025
2010         13615522         234045         654204          61241          0.326
2011         10455806         230398         303529          92452          0.207
2012         74125123         148916         182686          40116          0.125
2013        193570485          52370         253073           9844          0.061
2014        214802918         100261         604337          90876          0.245
2015          6602012         201915         766512         104631          0.322
2016        585785995         229657         280327          42845          0.125
2017         25819102         172793        1493217         115642          0.279
2018        193198886         357224         497643          75143          0.298
2019        329761737         208539         694115         135899          0.449
                              227355
