Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten Mean.Fsum Mean.Fanu
1 1986  5.17488e+008 82050.8 638618 282315 243569 282315 243569 0.434387 0 0.434387 0.462301
1 1987  1.16074e+008 203829 1.02468e+006 395296 332507 395296 332507 0.596164 0 0.596164 0.719787
1 1988  3.65732e+008 281314 476181 330358 235154 330358 235154 0.802241 0 0.802241 0.923805
1 1989  1.05935e+008 104601 553437 350409 244444 350409 244444 0.895942 0 0.895942 1.04224
1 1990  2.10289e+008 108823 332024 163224 124294 163224 124294 0.530723 0 0.530723 0.58782
1 1991  1.19628e+008 165782 573359 274839 201298 274839 201298 0.630352 0 0.630352 0.710318
1 1992  2.65236e+008 128062 352318 86788 66221.6 86788 66221.6 0.274777 0 0.274777 0.328367
1 1993  1.95102e+008 197399 676278 175786 218482 175786 218482 0.54038 0 0.54038 0.613276
1 1994  1.87569e+008 243410 643790 267281 210072 267281 210072 0.54648 0 0.54648 0.654218
1 1995  1.4052e+008 146340 495366 173607 128632 173607 128632 0.434271 0 0.434271 0.522051
1 1996  7.66555e+008 245365 711592 159024 226866 159024 226866 0.448204 0 0.448204 0.512944
1 1997  6.0653e+007 184927 1.58269e+006 470670 643562 470670 643562 0.813214 0 0.813214 0.922377
1 1998  9.44301e+007 345117 547134 462081 313992 462081 313992 1.07756 0 1.07756 1.17305
1 1999  1.21504e+008 115039 341695 191253 257387 191253 257387 1.03101 0 1.03101 1.10577
1 2000  1.26174e+008 58555.4 312446 186837 131526 186837 131526 0.915403 0 0.915403 1.12223
1 2001  1.21874e+008 62726 344990 193684 153827 193684 153827 0.701346 0 0.701346 0.717581
1 2002  2.85172e+007 62457.7 324114 116298 92156.5 116298 92156.5 0.564136 0 0.564136 0.734753
1 2003  6.29615e+007 58819.5 114973 34672.6 25483.4 34672.6 25483.4 0.322567 0 0.322567 0.394695
1 2004  4.10852e+007 26115.5 156742 31284.7 21821 31284.7 21821 0.235822 0 0.235822 0.275709
1 2005  6.37209e+007 53474.6 155509 13990.9 10682.7 13990.9 10682.7 0.104935 0 0.104935 0.132827
1 2006  1.19936e+008 49588 203232 7094.13 6175.08 7094.13 6175.08 0.0453703 0 0.0453703 0.0564487
1 2007  6.30803e+007 85934.1 383970 74972.2 61857.5 74972.2 61857.5 0.272202 0 0.272202 0.33486
1 2008  9.20998e+007 133643 332477 74932.7 65885.6 74932.7 65885.6 0.301575 0 0.301575 0.361124
1 2009  1.46884e+008 99013.5 320909 6260.97 6062.92 6260.97 6062.92 0.0255473 0 0.0255473 0.0306453
1 2010  1.57892e+007 247817 690260 61240.9 149328 61240.9 149328 0.326844 0 0.326844 0.393684
1 2011  1.1501e+007 240749 320072 92452.4 53968.3 92452.4 53968.3 0.207179 0 0.207179 0.254766
1 2012  7.3368e+007 157769 195074 40115.6 21130.4 40115.6 21130.4 0.125787 0 0.125787 0.154319
1 2013  1.84965e+008 55256.7 254128 9844.41 10333.5 9844.41 10333.5 0.0612119 0 0.0612119 0.0752867
1 2014  2.25362e+008 99979.2 582182 90876.4 85537.7 90876.4 85537.7 0.245388 0 0.245388 0.2995
1 2015  4.53581e+006 194945 782530 104631 152550 104631 152550 0.3231 0 0.3231 0.393373
1 2016  5.56049e+008 229881 279019 42845.2 30120.7 42845.2 30120.7 0.125787 0 0.125787 0.154319
1 2017  NA 170037 NA NA NA NA NA NA NA NA NA
