Area-3r    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1986        510341406          74220         567338         282315          0.446
1987        116127019         182788         987817         395296          0.610
1988        360728273         265259         458951         330358          0.822
1989        107677941          98890         541626         350409          0.916
1990        198082208         104128         330066         163224          0.544
1991        124099782         159615         544535         274839          0.646
1992        257963713         120468         350577          86788          0.281
1993        190939743         194505         662154         175786          0.554
1994        180436221         234746         625916         267281          0.559
1995        153306680         140172         476147         173607          0.444
1996        742460755         234514         738395         159024          0.459
1997         63922699         185417        1541926         470670          0.833
1998         93207149         331293         535338         462081          1.105
1999        121484754         108658         332708         191253          0.852
2000        133994160          68672         326032         186837          0.748
2001        127087171          76717         378300         193684          0.584
2002         31975669          75637         352699         116298          0.461
2003         72768266          71789         135401          34673          0.265
2004         47107330          32042         183270          31285          0.194
2005         80267565          65355         183214          13991          0.086
2006        114995352          60134         252982           7094          0.037
2007         58672548         104427         395299          74972          0.222
2008         89723829         145365         332573          74933          0.246
2009        137163968         103567         319880           6261          0.021
2010         15673663         247497         662839          61241          0.267
2011         11101487         248465         327267          92452          0.169
2012         84277451         167341         203662          40116          0.103
2013        207140749          59930         287986           9844          0.050
2014        223070409         113797         654582          90876          0.200
2015          8121491         226228         815063         104631          0.264
2016        705102306         260019         315656          42845          0.103
2017         32491133         202341        1791780         115642          0.228
2018        223823239         442876         617770          75389          0.244
2019        303286257         275268         838505         135899          0.368
2020        160645584         284149        1118811         246139          0.621
2021         77181103         375200        1051624         157472          0.373
                              209957
