Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten Mean.Fsum Mean.Fanu
1 1986  5.10341e+008 74220.2 567338 282315 227054 282315 227054 0.445988 0 0.445988 0.473951
1 1987  1.16127e+008 182788 987817 395296 324602 395296 324602 0.609726 0 0.609726 0.735658
1 1988  3.60728e+008 265259 458951 330358 232457 330358 232457 0.821632 0 0.821632 0.945097
1 1989  1.07678e+008 98889.8 541626 350409 242934 350409 242934 0.91636 0 0.91636 1.06514
1 1990  1.98082e+008 104128 330066 163224 124142 163224 124142 0.543918 0 0.543918 0.601847
1 1991  1.241e+008 159615 544535 274839 196456 274839 196456 0.645572 0 0.645572 0.726842
1 1992  2.57964e+008 120468 350577 86788 67189.9 86788 67189.9 0.281092 0 0.281092 0.335749
1 1993  1.9094e+008 194505 662154 175786 218435 175786 218435 0.553606 0 0.553606 0.62769
1 1994  1.80436e+008 234746 625916 267281 208454 267281 208454 0.559249 0 0.559249 0.668974
1 1995  1.53307e+008 140172 476147 173607 126710 173607 126710 0.444295 0 0.444295 0.533776
1 1996  7.42461e+008 234514 738395 159024 235891 159024 235891 0.459363 0 0.459363 0.525163
1 1997  6.39227e+007 185417 1.54193e+006 470670 636187 470670 636187 0.833189 0 0.833189 0.944032
1 1998  9.32071e+007 331293 535338 462081 312513 462081 312513 1.10524 0 1.10524 1.20175
1 1999  1.21485e+008 108658 332708 191253 225206 191253 225206 0.85244 0 0.85244 0.912062
1 2000  1.33994e+008 68671.6 326032 186837 116838 186837 116838 0.747526 0 0.747526 0.921832
1 2001  1.27087e+008 76717.4 378300 193684 146438 193684 146438 0.583727 0 0.583727 0.593519
1 2002  3.19757e+007 75637 352699 116298 83639.5 116298 83639.5 0.460503 0 0.460503 0.602422
1 2003  7.27683e+007 71789.4 135401 34672.6 25612.6 34672.6 25612.6 0.264795 0 0.264795 0.323541
1 2004  4.71073e+007 32042.5 183270 31284.7 20893.9 31284.7 20893.9 0.19397 0 0.19397 0.2261
1 2005  8.02676e+007 65355.5 183214 13990.9 10274.1 13990.9 10274.1 0.0856579 0 0.0856579 0.108423
1 2006  1.14995e+008 60134 252982 7094.13 6046.36 7094.13 6046.36 0.0370539 0 0.0370539 0.0460659
1 2007  5.86725e+007 104427 395299 74972.2 52783.3 74972.2 52783.3 0.222198 0 0.222198 0.273654
1 2008  8.97238e+007 145365 332573 74932.7 55236.9 74932.7 55236.9 0.246175 0 0.246175 0.2951
1 2009  1.37164e+008 103567 319880 6260.97 4813.98 6260.97 4813.98 0.0208615 0 0.0208615 0.0250086
1 2010  1.56737e+007 247497 662839 61240.9 118666 61240.9 118666 0.266838 0 0.266838 0.321857
1 2011  1.11015e+007 248465 327267 92452.4 45779 92452.4 45779 0.169119 0 0.169119 0.208126
1 2012  8.42775e+007 167341 203662 40115.6 17476.7 40115.6 17476.7 0.10268 0 0.10268 0.125994
1 2013  2.07141e+008 59930.1 287986 9844.41 9085.4 9844.41 9085.4 0.0499671 0 0.0499671 0.0614404
1 2014  2.2307e+008 113797 654582 90876.4 77286.4 90876.4 77286.4 0.20032 0 0.20032 0.244732
1 2015  8.12149e+006 226228 815063 104631 131570 104631 131570 0.263746 0 0.263746 0.321596
1 2016  7.05102e+008 260019 315656 42845.2 28173.5 42845.2 28173.5 0.10268 0 0.10268 0.125994
1 2017  3.24911e+007 202341 1.79178e+006 115642 227296 115642 227296 0.228183 0 0.228183 0.278618
1 2018  2.23823e+008 442876 617770 75388.5 118443 75388.5 118443 0.243737 0 0.243737 0.29743
1 2019  3.03286e+008 275268 838505 135899 181906 135899 181906 0.367522 0 0.367522 0.446344
1 2020  1.60646e+008 284149 1.11881e+006 246139 364312 246139 364312 0.620837 0 0.620837 0.746821
1 2021  7.71811e+007 375200 1.05162e+006 157472 239889 157472 239889 0.37349 0 0.37349 0.453489
1 2022  NA 209957 NA NA NA NA NA NA NA NA NA
