area,aar,hy,n_samples,sopcorr,n0,n1,n2,n3,n4,mw0,mw1,mw2,mw3,mw4,ton
1r,1982,1,,1,0,0,0,0,0,0.004094948,0.0063532786,0.0100006209,0.0135266337,0.0152074697,0
1r,1983,1,66,1.0868863794,878979.90237,2054327.8975,32240614.66,859651.5485,356193.94997,0.0051397905,0.004682223,0.0097502345,0.0171371002,0.0197787666,350267.15876
1r,1984,1,101,0.8690916752,16912.743293,51830096.688,1871262.3964,11002983.096,366525.67695,0.0031761026,0.0056042844,0.0101166611,0.0133887057,0.0132166853,461615.20418
1r,1985,1,96,0.7980360345,5044846.4367,5978906.7004,30163929.683,1911101.1148,203390.27928,0.0043163738,0.0049818975,0.0092408167,0.0153336059,0.0166569302,362993.01839
1r,1986,1,23,0.8431383567,0,45988178.979,7729522.0255,1690734.1237,31622.209296,0.0034526078,0.0053320041,0.0115440373,0.0114048237,0.012822001,354127.03442
1r,1987,1,38,0.9163802074,0,3690066.2403,19311996.865,982095.31287,139935.86064,0.0037525293,0.0072038776,0.0105928531,0.0189161143,0.0139358242,251679.47951
1r,1988,1,39,0.8073950957,1199168.4063,1983694.7791,8507339.8063,15128100.585,2338378.3923,0.006326623,0.0065914977,0.0105858799,0.0159731064,0.0171902331,392559.91304
1r,1989,1,38,0.5767609083,41986.854849,64347026.79,6551397.1791,1385566.21,4876266.4528,0.0024740633,0.005067776,0.0084451068,0.0090758348,0.0111716191,448578.40697
1r,1990,1,1,0.9394162639,0,20073076.128,16582495.617,2454050.1911,741089.3362,0.0038468608,0.0063639241,0.0097926628,0.0149330165,0.017707428,339899.48008
1r,1991,1,22,1.1527083343,0,17243365.391,7929644.1504,1134771.2791,390292.546,0.0047202807,0.0078666396,0.0141359059,0.0376733545,0.017529777,297332.42668
1r,1992,1,51,0.8568432621,1976.6824213,59633543.627,9904167.2719,990317.89307,613759.89181,0.0021428948,0.0077882399,0.0118380084,0.0177869097,0.0194902985,611267.25575
1r,1993,1,17,0.9381653022,4663091.096,2726337.7273,7102835.2724,1968996.1476,593926.66499,0.0046504369,0.0066427539,0.01023341,0.0129598973,0.017701336,148513.31055
1r,1994,1,21,0.9044719005,0,28253665.499,3658746.1552,1900877.2825,1300531.3542,0.0037037654,0.0052432456,0.0077462489,0.0114515664,0.0162636092,219401.82208
1r,1995,1,34,0.9188209482,4593.2039744,47629795.474,8093727.8099,948606.9552,400763.70031,0.0023181706,0.0073471108,0.0110005165,0.01381903,0.017910091,459273.75904
1r,1996,1,34,0.869988506,8042321.7228,11234784.74,13173297.899,4915790.8781,931281.37503,0.0047147409,0.0049054333,0.0070469785,0.0097934439,0.014189466,247217.80501
1r,1997,1,33,0.945771372,0,39752452.353,2450275.6695,4178225.9521,1037519.4732,0.0038728846,0.006772152,0.0075167112,0.0093416827,0.0133703064,340531.27725
1r,1998,1,48,0.9433553483,8643.4404666,9633082.9738,31009882.823,2392365.5049,1687571.5424,0.0025233109,0.0056074205,0.0081103758,0.0104519161,0.0125243668,351680.92907
1r,1999,1,262,0.9518150867,313165.58972,42997235.376,5611485.4007,10656020.924,848116.81043,0.0042532569,0.0054593166,0.007771599,0.0104064814,0.0125875384,401245.09715
1r,2000,1,103,0.8975541426,18034622.412,35224276.825,3506212.3214,711110.18113,1231818.788,0.0029398288,0.0066088438,0.0088313332,0.0116469423,0.0135016112,341688.77063
1r,2001,1,195,0.9163739645,5489126.8451,60802479.487,8498632.7491,1074494.2978,833162.35684,0.0020075781,0.0044581388,0.0081592109,0.0104585441,0.0148175682,375010.96394
1r,2002,1,305,0.938842331,722601.35655,86157910.899,10917847.502,1282809.2178,415928.19756,0.004577319,0.0060595601,0.0076248493,0.0097515922,0.0131634637,626618.04226
1r,2003,1,283,0.9297985721,13846935.532,4004426.1203,13229664.179,1247103.1787,495520.43942,0.0023704619,0.0035342022,0.007107786,0.0084804311,0.0105583387,156817.55209
1r,2004,1,441,0.9174579301,5286218.0958,32594285.783,847574.81181,2452873.4382,516882.25715,0.0032110604,0.0048953948,0.0080198385,0.0085671779,0.0098913465,209460.54132
1r,2005,1,326,0.9497571323,1711181.4626,11307247.894,3991462.1727,256015.7426,417669.96568,0.0032884646,0.0066143318,0.0087881035,0.0102129332,0.0117896965,123033.30507
1r,2006,1,561,0.9314318997,2277065.8347,34243244.86,2575506.5627,808127.27096,161496.24025,0.0030493576,0.0059542582,0.0095813491,0.011232103,0.0120061814,246529.45932
